q,e,i,om,w,ma,a
0.42483,0.762,38.13,302.13,127.02,192.83,1.785
0.5272107999999999,0.5852,5.06,96.98,258.98,287.85,1.271
0.7887945999999999,0.6519,11.2,280.59,218.45,50.7,2.266
1.2074447,0.4253,16.07,121.63,25.49,124.87,2.101
0.1872292,0.8268,23.23,161.29,8.38,287.01,1.081
1.0524958000000002,0.4443,4.19,298.93,168.63,278.07,1.894
0.5180598000000001,0.6949,30.12,125.42,152.77,239.42,1.698
1.1316476,0.5364,7.95,238.72,78.06,316.22,2.441
1.0992735,0.5055,19.49,168.88,115.54,47.91,2.223
1.2301668000000001,0.3211,17.93,227.85,230.84,70.81,1.812
1.1552125,0.2891,21.57,145.83,355.81,92.69,1.625
0.6363816,0.4997,3.51,182.22,242.29,334.78,1.272
0.9428400000000001,0.352,23.48,6.07,103.8,17.68,1.455
1.2395057999999999,0.4371,6.4,88.16,285.03,272.57,2.202
1.0118811,0.5287,21.58,318.23,74.93,316.7,2.147
0.5281538,0.7622,4.96,169.06,337.59,340.74,2.221
1.1694984,0.5844,4.31,64.5,127.49,331.33,2.814
0.6759822999999999,0.4127,3.94,344.55,239.74,265.23,1.151
0.9573760000000001,0.5726,37.34,26.9,262.77,112.4,2.24
1.2950336,0.4092,8.22,313.58,347.13,213.63,2.192
0.963325,0.6125,2.27,209.47,68.69,51.41,2.486
1.0248191999999998,0.5904,5.94,301.88,323.67,43.34,2.502
1.2668165999999998,0.2209,22.64,111.46,167.33,198.93,1.626
0.8739488,0.4847,8.7,230.77,281.62,136.5,1.696
1.0112076,0.3149,12.61,146.6,323.46,154.81,1.476
1.20841,0.39,8.3,102.61,354.77,130.4,1.981
0.7795852,0.6938,17.79,56.73,94.78,293.48,2.546
1.201725,0.559,16.33,308.5,337.94,19.46,2.725
0.9132888000000001,0.4846,15.17,61.28,232.29,181.98,1.772
1.1956609999999999,0.4815,7.2,174.47,181.52,253.19,2.306
0.9092699,0.5061,5.41,294.74,173.49,240.08,1.841
0.8256684000000001,0.3911,7.26,133.11,336.65,294.08,1.356
1.0946622,0.5022,4.66,265.43,92.29,230.88,2.199
1.1084148,0.2922,7.09,88.61,275.67,288.27,1.566
1.0709440000000001,0.317,9.45,124.37,256.87,257.34,1.568
0.9046394,0.3294,33.47,117.86,47.51,354.82,1.349
0.7604928,0.4816,3.12,73.39,280.08,234.01,1.467
0.9381542,0.1646,37.12,156.85,249.45,210.93,1.123
1.0420144999999998,0.5187,27.11,102.51,228.35,44.14,2.165
0.8210252999999998,0.6631,26.08,165.9,323.02,280.54,2.437
0.8250955999999999,0.3462,36.91,111.26,349.18,58.88,1.262
1.1877936000000002,0.4664,25.16,134.14,248.11,294.58,2.226
1.2517087,0.4313,7.57,105.55,146.79,70.58,2.201
0.9500186000000002,0.4562,1.87,209.84,114.74,120.72,1.747
1.081347,0.4091,2.02,232.83,68.21,205.77,1.83
0.7211908,0.4626,28.31,185.62,6.1,120.16,1.342
1.1578249,0.4173,5.91,22.39,105.72,350.62,1.987
0.5621174999999999,0.6431,39.59,66.5,241.9,61.3,1.575
0.7451965,0.7065,9.55,164.1,25.13,101.98,2.539
0.6840784999999999,0.5945,14.59,317.41,345.78,189.49,1.687
0.8579682,0.4303,37.98,164.12,125.13,236.86,1.506
1.1257724999999998,0.4495,8.45,177.1,177.3,44.72,2.045
1.2915649999999999,0.4895,3.52,119.18,153.71,84.35,2.53
0.9969471,0.3597,16.09,218.3,307.1,81.85,1.557
0.6053868,0.5956,9.01,180.01,235.81,221.98,1.497
1.2116410000000002,0.5529,7.84,287.6,74.14,230.04,2.71
0.5586352,0.6077,40.8,315.89,212.37,352.97,1.424
1.0842117000000002,0.5809,36.0,3.36,62.14,316.48,2.587
0.8389563999999999,0.6258,9.83,168.1,116.2,197.14,2.242
1.1392569,0.5329,14.59,253.46,103.59,227.57,2.439
0.8433248000000001,0.3248,15.32,8.9,233.67,161.93,1.249
0.6980472,0.6328,4.55,328.4,27.43,198.01,1.901
1.083,0.544,45.95,112.97,234.04,319.98,2.375
0.6129305,0.5037,23.9,312.43,348.46,164.33,1.235
1.0987262999999998,0.1369,4.38,104.28,183.61,292.43,1.273
0.7388359,0.2663,63.47,56.56,132.2,76.58,1.007
0.9180731999999998,0.5127,13.58,172.93,286.31,206.81,1.884
1.0978803,0.5743,4.15,257.21,75.51,281.17,2.579
1.0949807,0.4467,3.08,339.06,92.34,292.45,1.979
0.869304,0.3755,36.88,349.23,22.02,195.0,1.392
1.152924,0.3374,1.99,311.73,171.13,232.63,1.74
0.9824996999999999,0.5359,25.49,59.32,313.44,258.53,2.117
1.05006,0.3895,15.02,144.74,74.78,292.3,1.72
0.8840081000000001,0.3941,22.86,141.26,96.38,290.31,1.459
0.695736,0.3558,10.31,234.39,289.53,332.26,1.08
0.8949265000000002,0.4745,19.43,359.78,116.21,241.98,1.703
0.9150457999999999,0.4062,24.54,220.7,321.79,111.08,1.541
0.8632894,0.2721,38.49,294.97,322.86,346.16,1.186
0.9975966000000001,0.4918,5.3,168.18,147.11,268.2,1.963
1.1735229,0.4639,5.88,193.46,109.98,211.44,2.189
0.9275848,0.3057,17.25,116.65,133.8,7.26,1.336
1.025913,0.4018,11.42,158.21,51.39,150.14,1.715
0.9518867999999999,0.6653,1.98,57.94,238.17,299.39,2.844
1.2813999999999999,0.255,14.43,132.6,140.66,109.51,1.72
1.1676356,0.1181,13.87,162.48,94.25,81.51,1.324
1.1697994,0.5894,4.54,335.56,104.75,321.99,2.849
1.22892,0.468,7.21,296.79,47.37,202.41,2.31
1.2279861,0.4607,24.95,31.2,21.27,241.62,2.277
0.5717166,0.6038,25.92,37.15,157.99,227.94,1.443
0.8188504000000001,0.4422,15.99,260.77,334.32,25.93,1.468
1.2735023,0.2727,24.52,169.18,221.21,114.62,1.751
0.31042000000000003,0.8589,17.52,260.16,243.25,187.86,2.2
0.7728569999999999,0.6739,10.65,113.56,36.79,167.79,2.37
0.6192955,0.5535,9.27,333.51,203.2,144.38,1.387
0.804408,0.637,29.45,269.77,287.26,52.84,2.216
1.2194646000000002,0.5538,5.57,305.71,21.4,41.99,2.733
0.762909,0.3589,9.58,355.9,202.42,67.09,1.19
1.192672,0.512,4.22,109.17,235.01,9.33,2.444
1.1889801,0.3679,0.81,59.54,319.28,324.61,1.881
1.1853399999999998,0.5112,17.83,338.46,100.68,358.01,2.425
1.19662,0.4908,2.81,297.42,222.94,90.17,2.35
1.2942485000000001,0.2319,36.81,291.68,242.65,229.7,1.685
1.1086065,0.5585,3.02,186.49,334.16,255.22,2.511
1.2448975,0.4425,1.32,281.48,9.61,348.73,2.233
1.1990944000000001,0.6234,21.78,237.14,58.0,46.57,3.184
0.8933328,0.5608,6.51,111.24,104.55,266.79,2.034
1.0920627,0.4923,9.96,180.94,17.57,19.76,2.151
0.8189645,0.4767,6.99,227.26,296.32,191.28,1.565
0.8338604000000001,0.4641,6.3,61.73,147.68,199.34,1.556
1.1042391,0.4117,33.94,280.03,283.68,190.24,1.877
1.2218879999999999,0.556,8.29,302.87,168.92,353.92,2.752
0.8796684000000001,0.6362,31.92,347.29,198.71,348.51,2.418
1.2998805000000002,0.2385,38.45,297.84,27.16,211.56,1.707
1.1404888000000002,0.5204,20.95,167.37,250.12,99.43,2.378
1.1159586,0.1206,23.98,59.2,197.23,173.64,1.269
0.7990752000000001,0.2762,9.85,136.44,186.57,340.49,1.104
0.5242919,0.5699,3.2,307.39,324.77,232.39,1.219
0.7503335999999999,0.5239,11.4,338.95,305.81,57.67,1.576
1.0927584,0.4009,40.97,119.65,301.44,79.14,1.824
0.7587476000000001,0.5892,51.33,164.31,293.52,10.46,1.847
1.1039847,0.5177,23.44,345.86,124.28,199.31,2.289
1.1180750000000002,0.3611,14.36,296.61,357.61,180.03,1.75
1.0295264000000002,0.5162,8.4,127.85,128.96,38.05,2.128
0.41043359999999995,0.8224,25.75,178.11,231.18,195.22,2.311
1.00334,0.546,23.78,203.16,219.06,359.51,2.21
1.1034325,0.4413,14.63,76.4,32.68,71.81,1.975
0.9266234999999999,0.3059,21.92,121.05,287.53,350.35,1.335
0.9528828,0.2803,1.62,69.08,162.83,243.81,1.324
0.9697512999999999,0.3707,14.33,50.54,86.08,282.97,1.541
1.2848537,0.4983,15.75,94.64,199.77,89.79,2.561
1.1748516,0.6442,14.78,185.7,62.87,265.78,3.302
1.1376240000000002,0.4684,5.38,210.84,98.93,17.93,2.14
0.6807834000000001,0.5761,8.68,252.1,200.59,46.22,1.606
0.8167518,0.4717,13.53,303.61,231.22,263.72,1.546
1.2625803999999998,0.5573,11.02,146.26,155.2,207.32,2.852
1.138424,0.594,3.5,153.19,156.57,253.0,2.804
0.9886735999999999,0.4331,8.7,130.34,0.82,32.44,1.744
1.2307139999999999,0.4249,5.36,191.84,111.87,16.63,2.14
1.126875,0.399,36.94,135.2,269.26,141.62,1.875
0.8350764,0.5082,12.17,356.65,224.67,45.28,1.698
0.7768403999999999,0.6811,8.74,205.02,33.68,296.77,2.436
0.556296,0.6434,36.26,38.62,151.17,3.85,1.56
1.2965085,0.5023,8.96,144.92,271.36,63.82,2.605
1.2800167,0.2571,20.22,331.03,186.81,110.59,1.723
1.2269376,0.3914,6.5,222.69,156.21,253.07,2.016
1.1577089999999999,0.4297,5.96,299.73,350.5,252.06,2.03
0.7226156000000001,0.5478,18.82,13.95,312.04,323.61,1.598
0.9026688,0.5776,9.54,78.77,39.08,331.22,2.137
1.2584304000000004,0.4402,18.94,331.16,92.33,185.72,2.248
0.41862912,0.4176,7.37,81.66,167.52,100.47,0.7188
1.2676763,0.3873,6.17,315.28,286.13,7.93,2.069
0.9730446,0.1442,13.91,139.34,206.95,135.52,1.137
0.7445046,0.4837,4.1,213.65,103.06,44.44,1.442
1.1374548,0.5452,13.14,115.32,1.59,159.73,2.501
0.8564391999999998,0.5964,7.14,271.34,169.83,2.96,2.122
1.0443211,0.3143,5.55,332.07,52.13,261.0,1.523
1.0354476,0.3324,38.22,54.65,311.2,164.46,1.551
0.7676316000000001,0.4237,58.04,241.07,19.77,304.24,1.332
0.6621608000000001,0.5538,46.76,323.16,317.96,270.41,1.484
1.1641251,0.4833,36.67,223.64,118.03,193.03,2.253
0.9188139,0.5197,5.08,145.57,323.19,87.6,1.913
0.3659528000000001,0.7524,18.03,139.54,303.87,35.58,1.478
1.0284147,0.5077,12.74,195.49,8.81,31.52,2.089
0.6158539999999999,0.5663,23.67,165.32,178.97,83.87,1.42
1.2985803,0.4013,9.33,64.82,225.07,183.15,2.169
0.8645028,0.5756,9.44,199.94,28.18,134.02,2.037
1.0932435999999999,0.3342,8.6,0.96,344.79,268.62,1.642
1.0343886,0.4922,10.02,313.53,344.87,70.09,2.037
1.1979822,0.4678,12.92,158.95,171.0,253.46,2.251
1.2541555,0.1611,25.84,172.81,198.74,296.07,1.495
0.2564185,0.8085,34.49,148.22,211.95,141.97,1.339
1.236103,0.4545,2.52,210.91,112.09,24.47,2.266
0.7084071,0.5553,2.17,351.91,297.22,206.75,1.593
1.2418875,0.2115,15.11,64.04,200.04,265.87,1.575
0.863786,0.3917,24.08,55.82,150.95,235.5,1.42
1.0932600000000001,0.43,5.03,328.23,81.8,314.41,1.918
1.0011512,0.5474,8.08,5.26,116.33,99.09,2.212
1.093968,0.144,7.73,183.26,263.87,126.45,1.278
1.0389328,0.1896,24.15,297.57,195.57,72.81,1.282
1.1054274,0.2923,10.98,4.68,265.1,321.44,1.562
0.6782530999999999,0.5247,11.17,141.32,334.14,355.62,1.427
0.9069884999999998,0.6235,2.43,338.7,20.33,241.69,2.409
