a (km),e,i (rad),Omega (rad),omega (rad),M (rad)
537789649.4323565,0.787089010083934,0.06290943140413668,2.4256412141712405,2.0004464094928167,6.0228365648744475
149454844.59972844,0.3578269417896689,0.0267344360450556,2.143945326100009,5.184366487221919,0.46441977939249046
202366765.54268545,0.380831195359996,0.6974984300779364,1.836157311462474,1.958104589983872,0.19681196554645908
135515321.23618588,0.3732293379603852,0.38395259162717094,1.573707424994488,0.7882449433712244,0.0015081501275906462
283737739.32355726,0.7640314560272814,0.03553974382808495,1.04054733750733,4.9972035024700165,5.52875273939863
311664919.8715124,0.5614756987214667,0.12369748701616379,-2.4988752927598035,5.513879324365316,1.0991197884799533
312516011.8261663,0.5366497563924629,0.2820226261472467,-2.70206794988972,5.789940309548099,5.978948916507807
231662799.51192674,0.35472055151959675,0.5757772713154923,0.2866608682735516,3.1891657433046365,3.233059106247999
112282947.13951159,0.8759615774437369,2.475606890113971,0.1961732601861984,0.32987568120520194,5.739913619034132
241811912.74153146,0.7083933601874399,0.017033811918668363,-0.3062823862919673,1.301604889989763,5.81873107497797
263721455.3792851,0.6753420839103867,0.10603343042367284,-0.5118879661828017,1.5253952838603464,2.8711950592223587
270096903.74110067,0.4979841634117349,0.03233214942166717,2.551134339826632,0.7640328565586776,4.899179857891561
304038512.8761554,0.5564288882518889,0.12714736223478312,-0.45014135661972526,2.057429778110752,6.220117413563845
325513916.4853224,0.6145709181962369,0.05996868566843178,1.9594972793999905,0.8878705925738553,0.47521186861737075
167156933.8368172,0.21052453671774854,0.36403644974908145,1.8910697830847292,5.217955634798755,3.6803887945792284
224315191.08443075,0.367132227826277,0.31679096163977866,-1.4401635916710418,2.5971546511589825,0.5555107185376738
213681456.66068098,0.5031879084556514,0.16373816158824683,1.425201896408473,4.87732483893666,2.604863031651007
127733075.9674324,0.20342221245483624,0.6414066714340841,1.0068631984287513,3.5685760375621784,4.93833671067226
272595419.16947424,0.5244833715271154,0.23964177086799524,-0.13895926923971588,0.9212804738811151,2.292380979464415
267425993.37988102,0.6064633984181188,0.05614571621668331,2.1663987991853615,4.52639364275306,0.8769470989125363
183184953.70788464,0.19331358802167725,0.31785884544247817,-1.009064394327622,0.6166426327973902,5.907055048525569
94087024.20384474,0.5970164008806519,0.18493284287626804,2.0500781237708385,6.205455340635965,1.0345838804826064
305921001.1877182,0.6350790043557007,0.03357140200832926,1.8497451410179986,1.8909922878586212,2.306180915505726
119979974.84273483,0.6108457395492417,0.01338585640293511,1.6540038470017437,5.676366252325023,4.542804983634993
195675208.0463349,0.6966580577728091,0.01692742606252445,-1.795618701766029,4.199802347955208,1.9844432720138538
263082878.2253774,0.43807297574175863,0.034923462192720134,-2.55634766835934,6.106119756343049,5.715572002113179
406735072.4931738,0.7302598220038774,0.08558466228384766,-2.4307362450344323,0.7602999001719999,1.2489633249886332
338070232.86871076,0.6318384321757926,0.19824150344202918,0.28585618784987815,4.0625250179475145,3.216166731454219
218701999.24086654,0.5701979532489873,0.025101848979097972,-3.009068776132868,4.695788659575222,2.2595258816014514
145624596.71418756,0.43548469032018583,0.17618199923005878,-3.088141086785715,2.075013485547853,3.235519253983034
332056253.0160762,0.5944266688107022,0.16808984224652848,-0.12300813522612304,3.8355051053464386,5.581198355207296
127149305.7104827,0.4041340610126884,0.5329556966812972,-0.5609146938977809,0.7893289644750823,1.1405551502955449
177965550.51144627,0.23272904211752155,0.10140591057772994,-0.7137133928400153,3.9984552383339094,0.5804628350446279
176057828.68682662,0.38220022846566754,0.5401018908449965,-0.7914321352705217,1.6392367376498864,2.788964331622381
201503946.14393485,0.27926921932574394,0.6144260772235726,1.9323963811227785,5.993458464365012,5.874212633328564
229769837.40012395,0.5452679696588205,0.34987963602297384,1.7004912199196143,4.882600452186386,3.2644822727483422
122047516.7975413,0.25323917447247024,0.4700796608453404,-1.5870683817151943,0.43002167278623915,2.101904064380083
182812585.83394727,0.28274691676301245,0.4800611009716441,-1.9798213016329105,4.1901526423662965,2.604663955676621
341570220.1022652,0.7162993620227907,0.18208984309111875,-2.136225180162823,4.4710175979467275,1.6618683258150506
175964292.6032348,0.36799560848816626,0.06837369229273897,-2.6547716024381263,1.6155771222967497,0.3063883915506578
344875290.57163674,0.5843587598960122,0.7113598150866407,-2.673711734340624,2.7209998233079986,3.2377281170551804
256610072.63721117,0.43498478161175747,0.5154803657140873,-3.031306298952377,2.6762928018881524,1.9278567884632185
271117428.9624948,0.4383370075176283,0.13209838096531074,-0.27450649061045473,6.266592817668073,1.4334416838269242
318092169.8722089,0.5260702755774057,0.19436851224584692,2.2143986630931916,3.0676266449989917,3.487989894380689
256928181.0555049,0.47549223341132096,0.07322440685300238,1.810907735213912,3.9910560250788505,4.6500957971621775
209369601.37231487,0.30944246418507443,0.17403907995469936,-2.7379656646055133,0.6445049468121216,4.945103223677969
223023711.8758434,0.3980170347311407,0.041847752488956294,0.2396424669954007,2.2028436639682543,5.295833638894225
355107803.6639618,0.6153285333153441,0.3412410961515115,2.9016146197003367,0.1878257934484573,0.26320742295547817
186745200.90033886,0.3470259869435047,0.5872284159493871,2.8796247300607476,1.2500967650355488,0.03646203899897138
239545599.81891742,0.3986651520095618,0.0681733043788131,-0.6557453751951062,3.4975125803172262,0.8673400910905169
230941182.71319607,0.36921877334818265,0.08543194311700128,-0.8018691123510991,3.331130036626726,5.948320749632275
260155617.16508088,0.4886303832359626,0.0022908377179438524,2.264468050622799,5.507278845818491,3.595269873158099
340377282.43715674,0.570978244142475,0.12871512350937722,-1.406496404164643,3.187074338129167,2.108791200138981
146521976.7490985,0.10654642679852962,0.33251215969863124,-1.440357579839248,4.8724182283652775,1.6035641678375825
315362875.5388409,0.5304112833708059,0.10240724623308867,-1.546254543664634,3.3597029653291006,1.90475552565891
334997735.4166549,0.6613068171892432,0.10661524183326954,-1.9416568874779343,4.229104470323209,2.995884472423521
262221656.09835956,0.48857626699709855,0.24793883270490727,-2.3446230093542133,3.9270073804810752,6.132985053055431
243173068.3913217,0.5377047350348738,0.06619326918914989,0.5866961034557553,1.2450683456301954,3.9317872862691616
398836127.22785616,0.6568355573409353,0.2013948697803487,-2.621221568322543,2.584337166781159,4.570938222718886
316256797.14871365,0.5840268776357926,0.11662097259560733,0.45797077134662445,0.8265228553663713,1.4391387261311213
159379636.47320488,0.09961395723565052,0.08744425237694824,3.0767533756362067,4.1347470511497635,5.375481690881475
532281565.925124,0.8838223606571273,0.07577316214166614,-1.932846837487368,2.9799139076534686,3.4119069175830696
141045332.9766455,0.07402337613719663,0.04836916635621944,-0.7944728279912115,2.8899943153345458,2.0429470811193156
117542629.3912809,0.36607140078919165,0.14244763477460906,2.06909376339957,0.4348756961594784,3.534272635455626
183113412.30882874,0.41813995808432064,0.25975860127447575,1.9219197693901227,1.5589505486953588,2.142554492012362
293451782.0610373,0.47965565514957287,0.22142486709334766,1.1701987286166053,3.189864302163194,1.4923775487934243
100469027.54841277,0.5008905890667772,0.05189597138207952,0.8421283270213679,6.177443711595048,1.9626952437403506
200017613.9680843,0.3330712482177646,0.49746654915524413,-3.028564597297659,0.965268041456742,0.7615594935448584
203409365.49065623,0.27712251868587584,0.508260072234727,2.8693642232081533,6.021805012599138,3.20218830768272
216032839.55167452,0.5924840940397348,0.13964758287496698,-0.364095155903457,1.4697971146588777,2.062383190896753
220682805.8784218,0.833695697816272,0.02837489627479631,-0.6684105935482526,5.4130723721012055,1.445640377540828
240779010.3917129,0.47910691874560507,0.3620367230457733,-0.9338034255612169,2.1495874619207864,3.9121935592767647
813924335.3171973,0.8257150334384217,0.153655766817413,-0.30741589101535927,1.6140540667720158,3.069334097029758
252483864.19772357,0.7395728450939717,0.13394149332410357,-1.017216913821373,5.010663500316335,0.8161438721500804
262258239.69258988,0.44751501834079144,0.08941081819058253,2.0217803332977584,0.09509857790616039,2.3394234010521746
216198324.97381473,0.6053408278203143,0.16438833648706275,-1.588385717165535,4.833137282880547,0.5136202099810463
129965786.54587181,0.4237832182339379,0.23649975083893962,-1.771037551713307,0.8803613928361171,4.548773514349605
190738714.22993568,0.29744501855433536,0.01076198809520952,-1.9713552356425383,3.9878617676611556,4.569115420596556
309161265.37529826,0.5230783511288284,0.7354614365680412,0.7443565734497384,6.205530335433574,2.833516192269908
200608797.42996624,0.35773317010446903,0.08289254459269473,-2.8469467774910875,4.198433468772911,3.9984094358726545
147698413.91123378,0.20989253534973712,0.5288646681242009,0.08425145836243211,4.41193605592207,1.7731436989673721
143429229.84069872,0.33596564450798866,0.1686701332150105,-0.1540532649470734,4.234319067885317,4.149975580354781
160876088.72852552,0.1263979525113924,0.22409026555486083,-0.1775167606810389,5.170924439102694,2.763506384734809
354854123.53057855,0.6422071630723561,0.12014210782617038,-0.14804205527655737,5.32674029395991,1.5102569705613886
244337172.07952628,0.5148391106136868,0.09130422942710295,-0.19010109111284693,1.1722641657533561,4.343928630374813
298814147.45618725,0.5072128423172259,0.03506905611872346,-0.5094192592006921,0.4156073295540734,0.21166517247497385
170167595.203654,0.17077143690014757,0.29931861287332484,2.5048535052397005,2.1878018412521563,2.628594920215207
364648569.608534,0.6292453983345054,0.03365908493522512,2.1194881592216617,2.4798715539311385,4.017782558330015
114988136.78286871,0.9904236730522709,2.728312313629669,1.7104768337011795,0.09966388016954664,5.845322795971196
304375942.19001555,0.5770900910576358,0.11613742226283437,1.1350146347446055,4.054153696858458,4.984788546727343
192069449.39175332,0.3762958570449373,0.17114644764779782,-2.0312695953471493,4.972677157509814,3.310490171156144
176133133.6199582,0.1519250737819838,0.04369319781330547,-2.084720699947331,0.4204160538501238,4.502691398572799
225675603.9540727,0.4182902187717641,0.028826776061108467,-2.1277992348395802,1.0022213374626805,2.743990277599103
141163914.89329448,0.07053811465056781,0.032381242185387286,-2.505874912335593,3.4505712225604723,5.1361528052839
280854942.46595955,0.48361016016566,0.2629097295622591,0.42744978680120466,2.704093937077495,3.20433742767593
124857505.43422937,0.22981096963022785,0.47460044741345836,0.2809651927948027,5.8321236568299115,1.0692585316623529
182213948.39573985,0.24734121361490735,0.3277251824881631,3.1074749438153635,5.335516165114302,1.6572212141015683
260908005.6701741,0.4350964482915667,0.18013985397155047,3.1198122523681806,0.17720432567461053,5.369734212009193
305953326.78265995,0.6530867147818293,0.0860570282211457,-0.5266397143571822,1.82994626642164,1.0660301796537466
177345691.7190437,0.37385788016882254,0.16985369979089274,2.309546960748107,4.85412154439951,5.543678538676572
150736155.9425668,0.07087414357958952,0.04519747866118336,2.172656791071081,5.021171026365446,1.1590161824726906
304743603.6731188,0.5628805247629556,0.11462228659202849,1.6124900486651232,5.52191258513754,6.056476394357366
590499488.5966442,0.7490563909971136,0.8452124924947204,-1.6091436119119964,3.5429051325763954,1.3013493961696359
341617361.93586755,0.6261495222347908,0.05221226411300749,-1.9316324640270195,2.039533449339844,1.1090504794871237
111125172.49473867,0.43517892761679516,0.04605516352507982,0.20153265229735184,2.7183266058109012,1.103335627675044
224461062.77204087,0.46497748494665436,0.05999497033361819,-3.0955579503738244,1.9497577033137716,0.9512266269934031
168914254.30329293,0.16708771316092086,0.1683958545245988,-3.1111092510001574,4.14063623656668,3.8814237433666734
191828842.91331038,0.3547818344552004,0.19911503193889524,2.684326586526238,1.8891508738480631,1.887473407582327
344558512.7249924,0.7322515432094163,0.19714561667707045,-0.9829886213593025,4.783504560846508,0.195686255379794
278486127.08219045,0.45675585825604637,0.1700439803163308,1.6642505549132918,2.8764664364415164,1.9832045164737462
127379945.99969807,0.2094104595242278,0.30536050078389443,1.5625843596987878,6.00063382932106,4.8829213058489955
197938676.28825417,0.4113450824017715,0.07701448681168127,1.2544344417354718,4.508917244721588,0.5428550375545962
175922292.06750235,0.14714425721968133,0.03444340235331983,0.7682285266502789,2.9140538389605197,5.6286795671405345
168881934.51532757,0.17199994532325688,0.14647896150425926,0.6997033770616129,4.137754472960194,5.095799355165004
166739242.7048559,0.2365764636915162,0.1863847413324141,-2.5969619110068445,1.384425561091418,4.280576000507712
192943345.22111306,0.2189762020988294,0.5598046789806858,-2.6299218786372185,6.05853116040622,4.846902589311707
145730783.2530039,0.03643176315635365,0.0074891765664284226,-0.2345525891861517,3.17076808972719,3.0087355713727852
340317802.2813593,0.5707111138507489,0.01975870526930535,-1.4497913477083768,3.668934317433858,2.0678468034051924
352508148.3928785,0.7269453099436397,0.04260113390451796,-1.0948411676661078,1.67161025977407,2.0402217288088877
380449296.21484447,0.6027626755592081,0.4593647377337736,-1.2853917097004672,3.4202520972031496,5.485565302753791
466018544.4999522,0.8655164870489725,0.07097197643610575,-0.2604308635928047,3.614692122688935,3.5399748363566284
161218909.50493085,0.09785689748363176,0.04475477633297357,1.033886984687501,6.0025998589028315,2.6074857119860795
277600811.9813801,0.4922312242968135,0.28298385557586514,-2.610158428935381,3.670703780982128,1.2004799290958656
338249024.7380141,0.5876889423610181,0.07283698097201258,0.41187521356907153,5.605584778099224,0.8129280947446134
309185000.48588204,0.5406001870929786,0.05788547434750153,2.8560144280970947,2.55347923502762,4.578858956186782
159753488.639732,0.04851513113075769,0.4443406679571482,2.099640054506983,3.4703895696666396,5.328842787417727
141051253.4153794,0.28808326834908127,0.0348213830956164,1.9352415606875737,1.0193558801468603,1.620309914240475
185974899.73744377,0.3570333859209247,0.06317333930916035,1.730167083289034,4.528557870480109,0.931389293202094
174694436.22642457,0.6632745910758086,0.011201489921323258,-1.5319722361624821,4.165095354252973,5.669464182256251
168639832.59605083,0.2584754796352821,0.05881049702802369,-1.580189259495739,1.3831176620406103,0.6688819449141468
162710842.9441816,0.4944337831260592,0.004167701787072998,-2.0342847114808533,4.3399817899982915,5.224317853400136
179409618.43915167,0.5677184080793307,0.08144703173053451,-2.4321577720290133,1.9173892318306471,1.9180037313937142
117161998.69034788,0.2584444073310556,0.024675527832049075,2.737320243897399,3.2021953673054497,4.125758684112167
231023591.358142,0.6617662805607687,0.05482327258970673,-0.5150706121018649,4.8980514248583855,2.1469809445572725
292408690.6944938,0.8153185750085833,0.06850725896306133,1.5981988107908691,1.9921346806530966,5.595785412447033
