"pdes","epoch_mjd","a","e","i","om","w","ma"
5751,60200,2.101,0.4253,16.07,121.63,25.49,124.87
5786,60200,1.081,0.8268,23.23,161.29,8.38,287.01
5797,60200,1.894,0.4443,4.19,298.93,168.63,278.07
5828,60200,1.698,0.6949,30.12,125.42,152.77,239.42
5836,60200,2.441,0.5364,7.95,238.72,78.06,316.22
5863,60200,2.223,0.5055,19.49,168.88,115.54,47.91
5869,60200,1.812,0.3211,17.93,227.85,230.84,70.81
5879,60200,1.625,0.2891,21.57,145.83,355.81,92.69
6037,60200,1.272,0.4997,3.51,182.22,242.29,334.78
6047,60200,1.455,0.3520,23.48,6.07,103.80,17.68
6050,60200,2.202,0.4371,6.40,88.16,285.03,272.57
6053,60200,2.147,0.5287,21.58,318.23,74.93,316.70
6063,60200,2.221,0.7622,4.96,169.06,337.59,340.74
6178,60200,2.814,0.5844,4.31,64.50,127.49,331.33
6239,60200,1.151,0.4127,3.94,344.55,239.74,265.23
6455,60200,2.24,0.5726,37.34,26.90,262.77,112.40
6456,60200,2.192,0.4092,8.22,313.58,347.13,213.63
6489,60200,2.486,0.6125,2.27,209.47,68.69,51.41
6491,60200,2.502,0.5904,5.94,301.88,323.67,43.34
6569,60200,1.626,0.2209,22.64,111.46,167.33,198.93
6611,60200,1.696,0.4847,8.70,230.77,281.62,136.50
7025,60200,1.476,0.3149,12.61,146.60,323.46,154.81
7088,60200,1.981,0.3900,8.30,102.61,354.77,130.40
7092,60200,2.546,0.6938,17.79,56.73,94.78,293.48
7236,60200,2.725,0.5590,16.33,308.50,337.94,19.46
7335,60200,1.772,0.4846,15.17,61.28,232.29,181.98
7336,60200,2.306,0.4815,7.20,174.47,181.52,253.19
7341,60200,1.841,0.5061,5.41,294.74,173.49,240.08
7350,60200,1.356,0.3911,7.26,133.11,336.65,294.08
7358,60200,2.199,0.5022,4.66,265.43,92.29,230.88
7474,60200,1.566,0.2922,7.09,88.61,275.67,288.27
7480,60200,1.568,0.3170,9.45,124.37,256.87,257.34
7482,60200,1.349,0.3294,33.47,117.86,47.51,354.82
7753,60200,1.467,0.4816,3.12,73.39,280.08,234.01
7822,60200,1.123,0.1646,37.12,156.85,249.45,210.93
7839,60200,2.165,0.5187,27.11,102.51,228.35,44.14
7888,60200,2.437,0.6631,26.08,165.90,323.02,280.54
7889,60200,1.262,0.3462,36.91,111.26,349.18,58.88
7977,60200,2.226,0.4664,25.16,134.14,248.11,294.58
8013,60200,2.201,0.4313,7.57,105.55,146.79,70.58
8014,60200,1.747,0.4562,1.87,209.84,114.74,120.72
8034,60200,1.83,0.4091,2.02,232.83,68.21,205.77
8035,60200,1.342,0.4626,28.31,185.62,6.10,120.16
8037,60200,1.987,0.4173,5.91,22.39,105.72,350.62
8176,60200,1.575,0.6431,39.59,66.50,241.90,61.30
8201,60200,2.539,0.7065,9.55,164.10,25.13,101.98
8507,60200,1.687,0.5945,14.59,317.41,345.78,189.49
8566,60200,1.506,0.4303,37.98,164.12,125.13,236.86
8567,60200,2.045,0.4495,8.45,177.10,177.30,44.72
8709,60200,2.53,0.4895,3.52,119.18,153.71,84.35
9058,60200,1.557,0.3597,16.09,218.30,307.10,81.85
9162,60200,1.497,0.5956,9.01,180.01,235.81,221.98
9172,60200,2.71,0.5529,7.84,287.60,74.14,230.04
9202,60200,1.424,0.6077,40.80,315.89,212.37,352.97
9400,60200,2.587,0.5809,36.00,3.36,62.14,316.48
9856,60200,2.242,0.6258,9.83,168.10,116.20,197.14
9950,60200,2.439,0.5329,14.59,253.46,103.59,227.57
10115,60200,1.249,0.3248,15.32,8.90,233.67,161.93
10145,60200,1.901,0.6328,4.55,328.40,27.43,198.01
10150,60200,2.375,0.5440,45.95,112.97,234.04,319.98
10165,60200,1.235,0.5037,23.90,312.43,348.46,164.33
10302,60200,1.273,0.1369,4.38,104.28,183.61,292.43
10563,60200,1.007,0.2663,63.47,56.56,132.20,76.58
10636,60200,1.884,0.5127,13.58,172.93,286.31,206.81
10860,60200,2.579,0.5743,4.15,257.21,75.51,281.17
11054,60200,1.979,0.4467,3.08,339.06,92.34,292.45
11066,60200,1.392,0.3755,36.88,349.23,22.02,195.00
11284,60200,1.74,0.3374,1.99,311.73,171.13,232.63
11311,60200,2.117,0.5359,25.49,59.32,313.44,258.53
11398,60200,1.72,0.3895,15.02,144.74,74.78,292.30
11405,60200,1.459,0.3941,22.86,141.26,96.38,290.31
11500,60200,1.08,0.3558,10.31,234.39,289.53,332.26
11885,60200,1.703,0.4745,19.43,359.78,116.21,241.98
12538,60200,1.541,0.4062,24.54,220.70,321.79,111.08
12711,60200,1.186,0.2721,38.49,294.97,322.86,346.16
12923,60200,1.963,0.4918,5.30,168.18,147.11,268.20
13553,60200,2.189,0.4639,5.88,193.46,109.98,211.44
13651,60200,1.336,0.3057,17.25,116.65,133.80,7.26
14402,60200,1.715,0.4018,11.42,158.21,51.39,150.14
14827,60200,2.844,0.6653,1.98,57.94,238.17,299.39
15745,60200,1.72,0.2550,14.43,132.60,140.66,109.51
15817,60200,1.324,0.1181,13.87,162.48,94.25,81.51
16064,60200,2.849,0.5894,4.54,335.56,104.75,321.99
16636,60200,2.31,0.4680,7.21,296.79,47.37,202.41
16657,60200,2.277,0.4607,24.95,31.20,21.27,241.62
16816,60200,1.443,0.6038,25.92,37.15,157.99,227.94
16834,60200,1.468,0.4422,15.99,260.77,334.32,25.93
16912,60200,1.751,0.2727,24.52,169.18,221.21,114.62
16960,60200,2.2,0.8589,17.52,260.16,243.25,187.86
17181,60200,2.37,0.6739,10.65,113.56,36.79,167.79
17182,60200,1.387,0.5535,9.27,333.51,203.20,144.38
17188,60200,2.216,0.6370,29.45,269.77,287.26,52.84
17274,60200,2.733,0.5538,5.57,305.71,21.40,41.99
17511,60200,1.19,0.3589,9.58,355.90,202.42,67.09
18106,60200,2.444,0.5120,4.22,109.17,235.01,9.33
18109,60200,1.881,0.3679,0.81,59.54,319.28,324.61
18172,60200,2.425,0.5112,17.83,338.46,100.68,358.01
18736,60200,2.35,0.4908,2.81,297.42,222.94,90.17
18882,60200,1.685,0.2319,36.81,291.68,242.65,229.70
19356,60200,2.511,0.5585,3.02,186.49,334.16,255.22
19764,60200,2.233,0.4425,1.32,281.48,9.61,348.73
20086,60200,3.184,0.6234,21.78,237.14,58.00,46.57
20236,60200,2.034,0.5608,6.51,111.24,104.55,266.79
20255,60200,2.151,0.4923,9.96,180.94,17.57,19.76
20425,60200,1.565,0.4767,6.99,227.26,296.32,191.28
20429,60200,1.556,0.4641,6.30,61.73,147.68,199.34
20460,60200,1.877,0.4117,33.94,280.03,283.68,190.24
20790,60200,2.752,0.5560,8.29,302.87,168.92,353.92
20826,60200,2.418,0.6362,31.92,347.29,198.71,348.51
21088,60200,1.707,0.2385,38.45,297.84,27.16,211.56
21277,60200,2.378,0.5204,20.95,167.37,250.12,99.43
21374,60200,1.269,0.1206,23.98,59.20,197.23,173.64
